TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/03/19
TIME	17:16:16
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2000.0000
LASTX	750.0000
NPOINTS	1251
FIRSTY	0.02695
MAXY	0.70246
MINY	0.02693
XYDATA
1765.0000	0.02872
1764.0000	0.02874
1763.0000	0.02879
1762.0000	0.0288
1761.0000	0.02882
1760.0000	0.02883
1759.0000	0.02884
1758.0000	0.02885
1757.0000	0.02886
1756.0000	0.02886
1755.0000	0.02886
1754.0000	0.02885
1753.0000	0.02885
1752.0000	0.02884
1751.0000	0.02886
1750.0000	0.02884
1749.0000	0.02884
1748.0000	0.02884
1747.0000	0.02886
1746.0000	0.02887
1745.0000	0.0289
1744.0000	0.0289
1743.0000	0.0289
1742.0000	0.0289
1741.0000	0.02894
1740.0000	0.02897
1739.0000	0.02899
1738.0000	0.02902
1737.0000	0.02906
1736.0000	0.0291
1735.0000	0.02917
1734.0000	0.02922
1733.0000	0.02928
1732.0000	0.02932
1731.0000	0.02937
1730.0000	0.02945
1729.0000	0.02952
